"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","23-03-29"
"TIME","10:13:26"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.150","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","G[S]","B[S]"
"299","41.850E+03","12.23890E-06","664.9064E-06"
"300","42.150E+03","12.36680E-06","670.3534E-06"
"301","42.451E+03","12.44142E-06","675.8287E-06"
"302","42.755E+03","12.56116E-06","681.3668E-06"
"303","43.061E+03","12.63703E-06","687.0390E-06"
"304","43.369E+03","12.78995E-06","692.6925E-06"
"305","43.679E+03","12.89305E-06","698.3953E-06"
"306","43.992E+03","13.04462E-06","704.2529E-06"
"307","44.307E+03","13.15617E-06","710.1414E-06"
"308","44.624E+03","13.29258E-06","716.0703E-06"
"309","44.943E+03","13.41806E-06","722.0776E-06"
"310","45.265E+03","13.54858E-06","728.1668E-06"
"311","45.588E+03","13.71023E-06","734.3060E-06"
"312","45.915E+03","13.83039E-06","740.5206E-06"
"313","46.243E+03","14.00517E-06","746.8256E-06"
"314","46.574E+03","14.14006E-06","753.1841E-06"
"315","46.907E+03","14.29866E-06","759.6232E-06"
"316","47.243E+03","14.45832E-06","766.1600E-06"
"317","47.581E+03","14.63069E-06","772.7698E-06"
"318","47.921E+03","14.81321E-06","779.4514E-06"
"319","48.264E+03","14.96667E-06","786.2100E-06"
"320","48.610E+03","15.13869E-06","793.0965E-06"
"321","48.957E+03","15.31842E-06","800.0099E-06"
"322","49.308E+03","15.50157E-06","807.0699E-06"
"323","49.661E+03","15.67087E-06","814.1976E-06"
"324","50.016E+03","15.82467E-06","821.4350E-06"
"325","50.374E+03","16.04686E-06","828.7665E-06"
"326","50.734E+03","16.20874E-06","836.2008E-06"
"327","51.097E+03","16.41960E-06","843.7605E-06"
"328","51.463E+03","16.61077E-06","851.4460E-06"
"329","51.831E+03","16.87628E-06","859.2846E-06"
"330","52.202E+03","17.20072E-06","867.3386E-06"
"331","52.575E+03","17.79445E-06","875.5306E-06"
"332","52.952E+03","18.89517E-06","883.3364E-06"
"333","53.330E+03","19.05699E-06","890.5017E-06"
"334","53.712E+03","18.89877E-06","898.7316E-06"
"335","54.096E+03","19.05534E-06","907.0346E-06"
"336","54.483E+03","19.18074E-06","915.4947E-06"
"337","54.873E+03","19.38507E-06","924.0984E-06"
"338","55.266E+03","19.51617E-06","932.8885E-06"
"339","55.661E+03","19.70813E-06","941.8058E-06"
"340","56.060E+03","19.95957E-06","950.8161E-06"
"341","56.461E+03","20.18374E-06","959.9747E-06"
"342","56.865E+03","20.41052E-06","969.3725E-06"
"343","57.272E+03","20.64086E-06","978.8449E-06"
"344","57.681E+03","20.88580E-06","988.5545E-06"
"345","58.094E+03","21.13486E-06","998.4038E-06"
"346","58.510E+03","21.35258E-06","1.008414E-03"
"347","58.928E+03","21.60380E-06","1.018680E-03"
"348","59.350E+03","21.88723E-06","1.029097E-03"
"349","59.775E+03","22.17961E-06","1.039761E-03"
"350","60.202E+03","22.51306E-06","1.050526E-03"
"351","60.633E+03","22.79116E-06","1.061547E-03"
"352","61.067E+03","23.14294E-06","1.072855E-03"
"353","61.504E+03","23.49257E-06","1.084407E-03"
"354","61.944E+03","23.89143E-06","1.096186E-03"
"355","62.387E+03","24.32000E-06","1.108147E-03"
"356","62.834E+03","24.81495E-06","1.120438E-03"
"357","63.283E+03","25.38196E-06","1.133029E-03"
"358","63.736E+03","26.25356E-06","1.145871E-03"
"359","64.192E+03","27.08703E-06","1.158430E-03"
"360","64.651E+03","27.44744E-06","1.171366E-03"
"361","65.114E+03","27.80472E-06","1.184870E-03"
"362","65.580E+03","28.21512E-06","1.198701E-03"
"363","66.049E+03","28.79711E-06","1.212849E-03"
"364","66.522E+03","29.26927E-06","1.227556E-03"
"365","66.998E+03","29.87506E-06","1.242507E-03"
"366","67.477E+03","30.25046E-06","1.257758E-03"
"367","67.960E+03","30.91670E-06","1.273596E-03"
"368","68.446E+03","31.53564E-06","1.289800E-03"
"369","68.936E+03","32.24252E-06","1.306455E-03"
"370","69.429E+03","33.00389E-06","1.323711E-03"
"371","69.926E+03","33.67061E-06","1.341424E-03"
"372","70.426E+03","34.54844E-06","1.359765E-03"
"373","70.930E+03","35.47398E-06","1.378734E-03"
"374","71.438E+03","36.33300E-06","1.398377E-03"
"375","71.949E+03","37.38115E-06","1.418829E-03"
"376","72.464E+03","38.53252E-06","1.440096E-03"
"377","72.982E+03","39.96859E-06","1.462275E-03"
"378","73.504E+03","41.83146E-06","1.485655E-03"
"379","74.030E+03","44.33482E-06","1.510606E-03"
"380","74.560E+03","48.61565E-06","1.537123E-03"
"381","75.094E+03","57.02056E-06","1.564579E-03"
"382","75.631E+03","71.62303E-06","1.585675E-03"
"383","76.172E+03","77.04384E-06","1.593418E-03"
"384","76.717E+03","65.67880E-06","1.611589E-03"
"385","77.266E+03","58.64471E-06","1.643030E-03"
"386","77.819E+03","58.15521E-06","1.676901E-03"
"387","78.376E+03","60.51061E-06","1.710510E-03"
"388","78.936E+03","63.40039E-06","1.743298E-03"
"389","79.501E+03","65.54165E-06","1.777372E-03"
"390","80.070E+03","67.74951E-06","1.813446E-03"
"391","80.643E+03","69.99829E-06","1.851604E-03"
"392","81.220E+03","72.58529E-06","1.891886E-03"
"393","81.801E+03","75.49178E-06","1.934568E-03"
"394","82.386E+03","78.83507E-06","1.979949E-03"
"395","82.976E+03","82.59916E-06","2.028335E-03"
"396","83.570E+03","86.71682E-06","2.080013E-03"
"397","84.168E+03","91.34009E-06","2.135108E-03"
"398","84.770E+03","96.52672E-06","2.194431E-03"
"399","85.376E+03","102.6328E-06","2.258641E-03"
"400","85.987E+03","109.5068E-06","2.328074E-03"
"401","86.603E+03","117.4113E-06","2.403602E-03"
"402","87.222E+03","126.7051E-06","2.485920E-03"
"403","87.846E+03","137.7792E-06","2.576362E-03"
"404","88.475E+03","150.9869E-06","2.676624E-03"
"405","89.108E+03","167.1280E-06","2.787530E-03"
"406","89.745E+03","187.4873E-06","2.910426E-03"
"407","90.388E+03","212.6469E-06","3.048340E-03"
"408","91.034E+03","244.4625E-06","3.202904E-03"
"409","91.686E+03","284.7469E-06","3.377548E-03"
"410","92.342E+03","334.7402E-06","3.574079E-03"
"411","93.003E+03","398.9364E-06","3.796256E-03"
"412","93.668E+03","477.2007E-06","4.041907E-03"
"413","94.338E+03","549.1259E-06","4.301787E-03"
"414","95.013E+03","548.1639E-06","4.673517E-03"
"415","95.693E+03","605.7758E-06","5.273542E-03"
"416","96.378E+03","835.4314E-06","6.041197E-03"
"417","97.067E+03","1.230854E-03","7.000012E-03"
"418","97.762E+03","1.857637E-03","8.294175E-03"
"419","98.461E+03","2.981795E-03","10.35761E-03"
"420","99.166E+03","6.122137E-03","13.75046E-03"
"421","99.875E+03","16.18571E-03","17.01717E-03"
"422","100.59E+03","31.00940E-03","-567.9931E-06"
"423","101.31E+03","14.74954E-03","-13.72071E-03"
"424","102.03E+03","6.591231E-03","-10.49041E-03"
"425","102.76E+03","4.148813E-03","-7.772212E-03"
"426","103.50E+03","2.913100E-03","-6.807471E-03"
"427","104.24E+03","1.430638E-03","-5.655895E-03"
"428","104.99E+03","810.2552E-06","-4.422570E-03"
"429","105.74E+03","542.6636E-06","-3.565947E-03"
"430","106.49E+03","397.3431E-06","-2.944493E-03"
"431","107.26E+03","304.6758E-06","-2.459667E-03"
"432","108.02E+03","241.9173E-06","-2.084370E-03"
"433","108.80E+03","197.3632E-06","-1.773138E-03"
"434","109.58E+03","163.7598E-06","-1.514824E-03"
"435","110.36E+03","138.2729E-06","-1.297022E-03"
"436","111.15E+03","119.3505E-06","-1.107709E-03"
"437","111.94E+03","104.5001E-06","-943.4708E-06"
"438","112.75E+03","93.57909E-06","-796.5180E-06"
"439","113.55E+03","85.81502E-06","-668.7539E-06"
"440","114.36E+03","79.48141E-06","-553.8110E-06"
"441","115.18E+03","73.98634E-06","-449.6044E-06"
"442","116.01E+03","68.99966E-06","-352.8190E-06"
"443","116.84E+03","66.31122E-06","-260.5137E-06"
"444","117.67E+03","76.58085E-06","-172.8148E-06"
"445","118.51E+03","99.45282E-06","-109.3269E-06"
"446","119.36E+03","98.02642E-06","-85.48703E-06"
"447","120.22E+03","64.37196E-06","-20.08756E-06"
"448","121.08E+03","58.29274E-06","48.38054E-06"
"449","121.94E+03","58.63160E-06","107.8674E-06"
"450","122.82E+03","61.11762E-06","161.8975E-06"
"451","123.69E+03","65.04503E-06","209.7441E-06"
"452","124.58E+03","70.82100E-06","252.3917E-06"
"453","125.47E+03","76.37370E-06","284.7917E-06"
"454","126.37E+03","70.61151E-06","307.4566E-06"
"455","127.27E+03","49.71297E-06","338.7785E-06"
"456","128.18E+03","33.66172E-06","383.6757E-06"
"457","129.10E+03","26.93304E-06","429.7303E-06"
"458","130.02E+03","25.38082E-06","470.5066E-06"
"459","130.95E+03","21.87477E-06","508.8751E-06"
"460","131.89E+03","20.95083E-06","547.5817E-06"
"461","132.84E+03","23.46904E-06","583.0905E-06"
"462","133.79E+03","21.19520E-06","613.6794E-06"
"463","134.74E+03","20.05773E-06","647.2421E-06"
"464","135.71E+03","20.22985E-06","679.7743E-06"
"465","136.68E+03","20.79991E-06","710.9204E-06"
"466","137.66E+03","21.73669E-06","741.0588E-06"
"467","138.64E+03","22.99793E-06","770.2038E-06"
"468","139.63E+03","24.71542E-06","798.8437E-06"
"469","140.63E+03","27.38846E-06","826.3883E-06"
"470","141.64E+03","30.43007E-06","852.5437E-06"
"471","142.65E+03","34.05661E-06","876.4015E-06"
"472","143.67E+03","36.37128E-06","896.8020E-06"
"473","144.70E+03","33.63061E-06","916.7750E-06"
"474","145.74E+03","28.97009E-06","940.9918E-06"
"475","146.78E+03","26.44128E-06","967.6795E-06"
"476","147.83E+03","26.25679E-06","994.8866E-06"
"477","148.89E+03","28.07416E-06","1.021849E-03"
"478","149.95E+03","32.24042E-06","1.048020E-03"
"479","151.03E+03","40.25421E-06","1.071640E-03"
"480","152.11E+03","48.62294E-06","1.086411E-03"
"481","153.19E+03","46.19562E-06","1.096089E-03"
"482","154.29E+03","36.42810E-06","1.114494E-03"
